module,filename,description
emultimedia,EMuMedRestric_90b.png,red circle unhapy face
emultimedia,emultimedia_approv21x21.png,
emultimedia,emultimedia_approv42x42.png, Red triangle lightening bolt and yellow exclamation
emultimedia,emultimedia_nonFMNH.png, Red text=NON-FMNH
emultimedia,emultimedia_noncommercial_oj.png, Orange cirle with strikethrough text=$
emultimedia,,
emultimedia,,
emultimedia,,
emultimedia,,
