eregistry_key,irn,Key1,Key2,Key3,Key4,Key5,Key6,Key7,Key8,Key9,Key10,Value,AdmDateInserted,AdmDateModified
1,31499,"Group","Admin","Table","estandards","Report","Test report terms xml","","","","","Export XML#AdmDateInserted;AdmDateModified;guid=[AdmGUIDIsPreferred_tab,AdmGUIDType_tab,AdmGUIDValue_tab];AdmImportIdentifier;AdmInsertedBy;AdmModifiedBy;AdmOriginalData;AdmPublishWebNoPassword;AdmPublishWebPassword;AdmSystemIdentifier;AdmTimeInserted;AdmTimeModified;BetweenValue_nesttab&BetweenValue_tab;CollapseEmptyValues;DefinedTerm_tab;DefinitionsRef_tab.estandards.definitionsRef_tab_irn=irn;Errors;ExtendedData;ExtractName;Field_tab;Format_tab;FormatSeparator_tab;FormatSpecifier;FormatType_tab;irn;Module;NestedSeparator_tab;NotNotes;note=[NteAttributedToRef_nesttab&NteAttributedToRef_tab,NteBibliographyRef_nesttab&NteBibliographyRef_tab,NteDate0,NteText0,NteType_tab];RecordType;RemoveDuplicateValues;RowInclusion_tab;Script;SecDepartment_tab;SecRecordStatus;StandardName;StandardVersion;Status;SummaryData;Term;TermFormatString;TermURI;TypeOfWhere;Value_nesttab&Value_tab;where=[WhereCondition_nesttab&WhereCondition_tab,WhereField_nesttab&WhereField_tab,WhereKind_nesttab&WhereKind_tab,WhereType_nesttab&WhereType_tab];WhereOperator##-1###",2024-09-29,2024-09-29
2,31503,"Group","Admin","Table","estandards","Report","Test report standard xml","","","","","View XML#irn;RecordType;StandardName;DefinitionsRef_tab.estandards.(RecordType,irn,TermURI,Term)##-1###",2024-09-29,2024-09-29
