"Group1_key","estandards_key","irn","RecordType","StandardName","Module","StandardVersion","Status","Term","TermURI","FormatSpecifier","CollapseEmptyValues","RemoveDuplicateValues","NestedSeparator","TermFormatString","Field","DefinedTerm","Expr1017","RowInclusion","FormatSeparator","TypeOfWhere","WhereOperator","Script","WhereCondition"
167,110,182,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:georeferencedBy","http://rs.tdwg.org/dwc/terms/georeferencedBy","String","Yes","Yes","|","%s","ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatDeterminedByRef_tab.eparties.SummaryData",,"All Rows","All Rows",,"Boolean",,,"Equals"
168,111,183,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:georeferencedDate","http://rs.tdwg.org/dwc/terms/georeferencedDate","String","Yes","Yes","|","%s","ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatDetDate0",,"All Rows","All Rows",,"Row Select","AND",,"Equals"
169,112,815,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:georeferenceProtocol","http://rs.tdwg.org/dwc/terms/georeferenceProtocol",,"No","No",,,"ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatLatLongDetermination_tab",,"First Row","First Row",,"Row Select","AND",,"Equals"
170,113,30,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:georeferenceProtocol","http://rs.tdwg.org/dwc/terms/georeferenceProtocol",,"No","No",,,"ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatLatLongDetermination_tab",,"First Row","First Row",,"Row Select","AND",,"Equals"
171,114,817,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:georeferenceRemarks","http://rs.tdwg.org/dwc/terms/georeferenceRemarks",,"No","No",,,"ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatGeoreferencingNotes0",,"First Row","First Row",,"Row Select","AND",,"Equals"
172,115,25,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:georeferenceRemarks","http://rs.tdwg.org/dwc/terms/georeferenceRemarks",,"No","No",,,"ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatGeoreferencingNotes0",,"First Row","First Row",,"Row Select","AND",,"Equals"
173,116,819,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:georeferenceSources","http://rs.tdwg.org/dwc/terms/georeferenceSources","String","Yes","Yes","|","%s","ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatDetSource_tab",,"All Rows","All Rows",,,,,"Equals"
174,117,184,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:georeferenceSources","http://rs.tdwg.org/dwc/terms/georeferenceSources","String","Yes","Yes","|","%s","ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatDetSource_tab",,"All Rows","All Rows",,,,,"Equals"
175,118,186,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:group","http://rs.tdwg.org/dwc/terms/formation","Script","Yes","Yes","|",,"PalStrStratigraphyRef_tab.enhmstratigraphy.LitGroupFrom_tab",,"All Rows","All Rows",,"Group Row Select",,"sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
     if ($max > 1 && $fields[1] ne """")
    {
         $value .= ""-"" if ($value ne """");
         $value .= $fields[1];
    }
    if ($max > 2 && ($fields[2] ne """" || $fields[3] ne """"))
   {
        $value .= ""|"" if ($value ne """");
        if ($fields[2] ne """")
        {
            $value .= $fields[2];
        }
        elsif ($max > 3)
        {
            $value .= $fields[3];
        }
    }
    return $value;
}","Equals"
192,123,824,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:higherGeographyID","http://rs.tdwg.org/dwc/terms/higherGeography","String","Yes","Yes","|","%s","ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.PolParentRef.esites.AdmGUIDValue_tab",,"All Rows","All Rows",,"Boolean","AND",,"Equals"
192,123,824,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:higherGeographyID","http://rs.tdwg.org/dwc/terms/higherGeography","String","Yes","Yes","|","%s","ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.PolParentRef.esites.AdmGUIDValue_tab",,"All Rows","All Rows",,"Boolean","AND",,"Equals"
193,124,189,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:higherGeographyID","http://rs.tdwg.org/dwc/terms/higherGeography","String","Yes","Yes","|","%s","ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.PolParentRef.esites.AdmGUIDValue_tab",,"All Rows","All Rows",,"Boolean","AND",,"Equals"
193,124,189,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:higherGeographyID","http://rs.tdwg.org/dwc/terms/higherGeography","String","Yes","Yes","|","%s","ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.PolParentRef.esites.AdmGUIDValue_tab",,"All Rows","All Rows",,"Boolean","AND",,"Equals"
194,125,190,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:highestBiostratigraphicZone","http://rs.tdwg.org/dwc/terms/highestBiostratigraphicZone","Script","Yes","Yes","|",,"PalStrStratigraphyRef_tab.enhmstratigraphy.BioZoneTo_tab",,"All Rows","All Rows",,"Group Row Select","AND","sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1)
    {
        $value .= "" "" if ($value ne """");
        if ($fields[1] ne """")
        {
            $value .= $fields[1];
        }
        elsif ($max > 2)
        {
            $value .= $fields[2];
        }
    }
    return $value;
}","Equals"
200,129,828,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:identifiedBy","https://dwc.tdwg.org/terms/#dwc:identifiedBy","String","Yes","Yes","|","%s","ecatalogue:MulMultiMediaRef_tab.IdeIdentifiedByRef_nesttab&IdeIdentifiedByRef_tab.eparties.NamFullName",,"All Rows","All Rows",,"Boolean","OR",,"Equals"
200,129,828,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:identifiedBy","https://dwc.tdwg.org/terms/#dwc:identifiedBy","String","Yes","Yes","|","%s","ecatalogue:MulMultiMediaRef_tab.IdeIdentifiedByRef_nesttab&IdeIdentifiedByRef_tab.eparties.NamFullName",,"All Rows","All Rows",,"Boolean","OR",,"Equals"
200,129,828,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:identifiedBy","https://dwc.tdwg.org/terms/#dwc:identifiedBy","String","Yes","Yes","|","%s","ecatalogue:MulMultiMediaRef_tab.IdeIdentifiedByRef_nesttab&IdeIdentifiedByRef_tab.eparties.NamFullName",,"All Rows","All Rows",,"Boolean","OR",,"Equals"
201,130,192,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:identifiedBy","https://dwc.tdwg.org/terms/#dwc:identifiedBy","String","Yes","Yes","|","%s","IdeIdentifiedByRef_nesttab&IdeIdentifiedByRef_tab.eparties.NamFullName",,"All Rows","All Rows",,"Boolean","OR",,"Equals"
201,130,192,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:identifiedBy","https://dwc.tdwg.org/terms/#dwc:identifiedBy","String","Yes","Yes","|","%s","IdeIdentifiedByRef_nesttab&IdeIdentifiedByRef_tab.eparties.NamFullName",,"All Rows","All Rows",,"Boolean","OR",,"Equals"
201,130,192,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:identifiedBy","https://dwc.tdwg.org/terms/#dwc:identifiedBy","String","Yes","Yes","|","%s","IdeIdentifiedByRef_nesttab&IdeIdentifiedByRef_tab.eparties.NamFullName",,"All Rows","All Rows",,"Boolean","OR",,"Equals"
202,131,795,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:informationWithheld","http://rs.tdwg.org/dwc/terms/informationWithheld","String","Yes","Yes",,"%s","ecatalogue:MulMultiMediaRef_tab.NotFisNotes0",,"First Row","First Row",,"Row Select",,,"Equals"
203,132,195,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:informationWithheld","http://rs.tdwg.org/dwc/terms/informationWithheld","String","Yes","Yes",,"%s","NotFisNotes0",,"First Row","First Row",,"Row Select",,,"Equals"
217,140,201,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:latestAgeOrHighestStage","http://rs.tdwg.org/dwc/terms/latestAgeOrHighestStage","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.ChrStageTo_tab",,,,,"Group Row Select",,"sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1)
    {
        $value .= "" "" if ($value ne """");
        if ($fields[1] ne """")
        {
            $value .= $fields[1];
        }
        elsif ($max > 2)
        {
            $value .= $fields[2];
        }
    }
    return $value;
}","Equals"
220,141,202,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:latestChronometricAge","http://rs.tdwg.org/chrono/terms/latestChronometricAge","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.AbsFrom_tab",,,,,"Group Row Select",,"sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1)
    {
        $value .= "" "" if ($value ne """");
        if ($fields[1] ne """")
        {
            $value .= $fields[1];
        }
        elsif ($max > 2)
        {
            $value .= $fields[2];
        }
    }
    return $value;
}","Equals"
223,142,203,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:latestEonOrHighestEonothem","http://rs.tdwg.org/dwc/terms/latestEonOrHighestEonothem","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.ChrEonTo_tab",,,,,"Group Row Select",,"sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1)
    {
        $value .= "" "" if ($value ne """");
        if ($fields[1] ne """")
        {
            $value .= $fields[1];
        }
        elsif ($max > 2)
        {
            $value .= $fields[2];
        }
    }
    return $value;
}","Equals"
226,143,204,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:latestEpochOrHighestSeries","http://rs.tdwg.org/dwc/terms/latestEpochOrHighestSeries","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.ChrEpochTo_tab",,,,,"Group Row Select",,"sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1)
    {
        $value .= "" "" if ($value ne """");
        if ($fields[1] ne """")
        {
            $value .= $fields[1];
        }
        elsif ($max > 2)
        {
            $value .= $fields[2];
        }
    }
    return $value;
}","Equals"
229,144,264,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:latestEraOrHighestErathem","http://rs.tdwg.org/dwc/terms/latestEonOrHighestErathem","Script","No","No",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.ChrEraTo_tab",,,,,"Group Row Select","AND","sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1)
    {
        $value .= "" "" if ($value ne """");
        if ($fields[1] ne """")
        {
            $value .= $fields[1];
        }
        elsif ($max > 2)
        {
            $value .= $fields[2];
        }
    }
    return $value;
}","Equals"
232,145,206,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:latestPeriodOrHighestSystem","http://rs.tdwg.org/dwc/terms/latestPeriodOrHighestSystem","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.ChrPeriodTo_tab",,,,,"Group Row Select",,"sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1)
    {
        $value .= "" "" if ($value ne """");
        if ($fields[1] ne """")
        {
            $value .= $fields[1];
        }
        elsif ($max > 2)
        {
            $value .= $fields[2];
        }
    }
    return $value;
}","Equals"
237,148,209,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:lithostratigraphicTerms","http://rs.tdwg.org/dwc/terms/lithostratigraphicTerms","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.SummaryData",,,,,"Group Row Select",,"sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1)
    {
        $value .= "" "" if ($value ne """");
        if ($fields[1] ne """")
        {
            $value .= $fields[1];
        }
        elsif ($max > 2)
        {
            $value .= $fields[2];
        }
    }
    return $value;
}","Equals"
250,151,789,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:locationID","http://rs.tdwg.org/dwc/terms/locationID","String","Yes","Yes",,"%s","ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.AdmGUIDValue_tab",,,,,"Boolean","AND",,"Equals"
250,151,789,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:locationID","http://rs.tdwg.org/dwc/terms/locationID","String","Yes","Yes",,"%s","ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.AdmGUIDValue_tab",,,,,"Boolean","AND",,"Equals"
251,152,211,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:locationID","http://rs.tdwg.org/dwc/terms/locationID","String","Yes","Yes",,"%s","ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.AdmGUIDValue_tab",,,,,"Boolean","AND",,"Equals"
251,152,211,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:locationID","http://rs.tdwg.org/dwc/terms/locationID","String","Yes","Yes",,"%s","ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.AdmGUIDValue_tab",,,,,"Boolean","AND",,"Equals"
252,153,212,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:lowestBiostratigraphicZone","http://rs.tdwg.org/dwc/terms/lowestBiostratigraphicZone","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.BioZoneFrom_tab",,,,,"Group Row Select",,"sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1)
    {
        $value .= "" "" if ($value ne """");
        if ($fields[1] ne """")
        {
            $value .= $fields[1];
        }
        elsif ($max > 2)
        {
            $value .= $fields[2];
        }
    }
    return $value;
}","Equals"
255,154,787,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:maximumDepthInMeters","http://rs.tdwg.org/dwc/terms/maximumDepthInMeters","String","Yes","Yes",,"%s","ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.AquDepthToMet",,,,,,,,"Is Not Null"
256,154,787,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:maximumDepthInMeters","http://rs.tdwg.org/dwc/terms/maximumDepthInMeters","String","Yes","Yes",,"%s","ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.AquDepthFromMet",,,,,,,,"Is Null"
257,155,214,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:maximumDepthInMeters","http://rs.tdwg.org/dwc/terms/maximumDepthInMeters","String","Yes","Yes",,"%s","ColCollectionEventRef.ecollectionevents.AquDepthToMet",,,,,,,,"Is Not Null"
258,155,214,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:maximumDepthInMeters","http://rs.tdwg.org/dwc/terms/maximumDepthInMeters","String","Yes","Yes",,"%s","ColCollectionEventRef.ecollectionevents.AquDepthFromMet",,,,,,,,"Is Null"
259,156,785,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:maximumElevationInMeters","http://rs.tdwg.org/dwc/terms/maximumElevationInMeters","String","Yes","Yes",,"%s","ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LocElevationASLToMt",,,,,,,,"Is Not Null"
260,156,785,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:maximumElevationInMeters","http://rs.tdwg.org/dwc/terms/maximumElevationInMeters","String","Yes","Yes",,"%s","ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LocElevationASLFromMt",,,,,,,,"Is Null"
261,157,215,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:maximumElevationInMeters","http://rs.tdwg.org/dwc/terms/maximumElevationInMeters","String","Yes","Yes",,"%s","ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LocElevationASLToMt",,,,,,,,"Is Not Null"
262,157,215,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:maximumElevationInMeters","http://rs.tdwg.org/dwc/terms/maximumElevationInMeters","String","Yes","Yes",,"%s","ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LocElevationASLFromMt",,,,,,,,"Is Null"
270,164,222,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:member","http://rs.tdwg.org/dwc/terms/member","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.LitMemberFrom_tab",,,,,"Group Row Select",,"sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1 && $fields[1] ne """")
    {
         $value .= ""-"" if ($value ne """");
         $value .= $fields[1];
    }
    if ($max > 2 && ($fields[2] ne """" || $fields[3] ne """"))
    {
        $value .= ""|"" if ($value ne """");
        if ($fields[2] ne """")
        {
            $value .= $fields[2];
        }
        elsif ($max > 3)
        {
            $value .= $fields[3];
        }
    }
    return $value;
}","Equals"
281,172,227,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:namePublishedInYear","https://dwc.tdwg.org/terms/#dwc:namePublishedInYear","String","Yes","Yes",,"%s","IdeTaxonRef_tab.etaxonomy.AutBasionymYear",,,,,,,,"Is Not Null"
282,172,227,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:namePublishedInYear","https://dwc.tdwg.org/terms/#dwc:namePublishedInYear","String","Yes","Yes",,"%s","IdeTaxonRef_tab.etaxonomy.AutCombYear",,,,,,,,"Is Null"
284,174,254,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:occurenceRemarks","https://dwc.tdwg.org/terms/#dwc:occurrenceRemarks","String","No","No",,"%s","NotFisNotes0",,,,,"Row Select","AND",,"Equals"
285,175,185,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:occurrenceID","http://rs.tdwg.org/dwc/terms/occurrenceID","String","Yes","Yes","|",,"AdmGUIDValue_tab",,"All Rows","All Rows",,"Row Select","AND",,"Equals"
302,184,257,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:relatedResourceId","http://rs.tdwg.org/dwc/terms/relatedResourceID",,"Yes","Yes","|","%s%s","RelNhURI_tab",,"All Rows","All Rows",,"Row Select","AND",,"Is Null"
303,184,257,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:relatedResourceId","http://rs.tdwg.org/dwc/terms/relatedResourceID",,"Yes","Yes","|","%s%s","RelObjectsRef_tab.ecatalogue.DarGlobalUniqueIdentifier",,"All Rows","All Rows",,"Row Select","AND",,"Is Not Null"
314,193,777,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:scientificName","http://rs.tdwg.org/dwc/terms/scientificName",,"No","No",,,"ecatalogue:MulMultiMediaRef_tab.IdeTaxonRef_tab.etaxonomy.ClaScientificName",,,,,"Row Select","AND",,"Equals"
315,194,248,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:scientificName","http://rs.tdwg.org/dwc/terms/scientificName",,"No","No",,,"IdeTaxonRef_tab.etaxonomy.ClaScientificName",,,,,"Row Select","AND",,"Equals"
316,195,247,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:scientificNameAuthorship","http://rs.tdwg.org/dwc/terms/scientificNameAuthorship",,"No","No",,,"IdeTaxonRef_tab.etaxonomy.AutAuthorString",,,,,"Row Select","AND",,"Equals"
319,198,245,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:specificEpithet","http://rs.tdwg.org/dwc/terms/specificEpithet",,"No","No",,,"IdeTaxonRef_tab.etaxonomy.ClaSpecies",,,,,"Row Select","AND",,"Equals"
322,201,243,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:subgenus","https://dwc.tdwg.org/terms/#dwc:subgenus",,"No","No",,,"IdeTaxonRef_tab.etaxonomy.ClaSubgenus",,,,,"Row Select","AND",,"Equals"
324,203,242,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:taxonID","http://rs.tdwg.org/dwc/terms/taxonID",,"No","No",,,"IdeTaxonRef_tab.etaxonomy.irn",,,,,"Boolean","AND",,"Equals"
325,204,55,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:taxonRank","http://rs.tdwg.org/dwc/terms/taxonRank",,"No","No",,,"IdeTaxonRef_tab.etaxonomy.ClaRank",,,,,"Boolean","AND",,"Equals"
326,205,54,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:taxonRemarks","https://dwc.tdwg.org/terms/#dwc:taxonRemarks","Script","No","No",,,"IdeTaxonRef_tab.etaxonomy.NteText0",,"All Rows","All Rows",,"Row Select","AND","sub
fieldFormat
{
    my @notes = split(/\|/, $fields[0]);
    my @sumdata = split(/\|/, $fields[1]);
    my $value = """";

    for (my $i = 0; $i < @notes; $i++)
    {
        $value .= ($i ? ""|"" : """");
        $value .= $notes[$i] . "" ("" . $sumdata[$i] . "")"";
    }
    return($value);
}","Equals"
329,207,771,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:verbatimCoordinateSystem","http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem","String","Yes","Yes",,"%s","ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatDatum_tab",,,,,"Row Select",,,"Equals"
330,208,230,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:verbatimCoordinateSystem","http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem","String","Yes","Yes",,"%s","ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatDatum_tab",,,,,"Row Select",,,"Equals"
360,214,705,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:verbatimLatitude","http://rs.tdwg.org/dwc/terms/verbatimLatitude",,"No","No",,,"ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatLatitudeVerbatim_nesttab&LatLatitudeVerbatim_tab",,"All Rows","All Rows",,"Row Select","AND",,"Equals"
361,215,49,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:verbatimLatitude","http://rs.tdwg.org/dwc/terms/verbatimLatitude",,"No","No",,,"ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatLatitudeVerbatim_nesttab&LatLatitudeVerbatim_tab",,"All Rows","All Rows",,"Row Select","AND",,"Equals"
362,216,707,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:verbatimLongitude","http://rs.tdwg.org/dwc/terms/verbatimLongitude",,"No","No",,,"ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatLongitudeVerbatim_nesttab&LatLongitudeVerbatim_tab",,"All Rows","All Rows",,"Row Select","AND",,"Equals"
363,217,48,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:verbatimLongitude","http://rs.tdwg.org/dwc/terms/verbatimLongitude",,"No","No",,,"ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatLongitudeVerbatim_nesttab&LatLongitudeVerbatim_tab",,"All Rows","All Rows",,"Row Select","AND",,"Equals"
365,219,765,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:vernacularName","http://rs.tdwg.org/dwc/terms/vernacularName",,"Yes","Yes","|",,"ecatalogue:MulMultiMediaRef_tab.IdeTaxonRef_tab.etaxonomy.ComName_tab",,"All Rows","All Rows",,"Boolean","AND",,"Is Null"
365,219,765,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:vernacularName","http://rs.tdwg.org/dwc/terms/vernacularName",,"Yes","Yes","|",,"ecatalogue:MulMultiMediaRef_tab.IdeTaxonRef_tab.etaxonomy.ComName_tab",,"All Rows","All Rows",,"Boolean","AND",,"Is Not Null"
366,219,765,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:vernacularName","http://rs.tdwg.org/dwc/terms/vernacularName",,"Yes","Yes",,,"ecatalogue:MulMultiMediaRef_tab.IdeTaxonRef_tab.etaxonomy.ComName_tab",,,,,"Boolean","AND",,"Is Not Null"
366,219,765,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:vernacularName","http://rs.tdwg.org/dwc/terms/vernacularName",,"Yes","Yes",,,"ecatalogue:MulMultiMediaRef_tab.IdeTaxonRef_tab.etaxonomy.ComName_tab",,,,,"Boolean","AND",,"Equals"
386,227,666,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","fmnh:decimalLongitude","http://rs.tdwg.org/dwc/terms/decimalLongitude","String","Yes","Yes",,,"ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatCentroidLongitude0",,,,,"Row Select","AND",,"Equals"
387,228,168,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","fmnh:decimalLongitude","http://rs.tdwg.org/dwc/terms/decimalLongitude","String","Yes","Yes",,,"ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatCentroidLongitude0",,,,,"Row Select","AND",,"Equals"
414,244,723,"Term Definition","Photoshop","emultimedia","2022-11-08","Active","photoshop:Credit","http://ns.adobe.com/photoshop/1.0/Credit","Script","Yes","Yes",,,"AdmGUIDValue_tab",,"First Row","First Row",,,,"sub
fieldFormat
{
    my $max = @fields;
    my $value =","Equals"
