"Group1_key","estandards_key","irn","RecordType","StandardName","Module","StandardVersion","Status","Term","TermURI","FormatSpecifier","CollapseEmptyValues","RemoveDuplicateValues","NestedSeparator","TermFormatString","Field","DefinedTerm","Expr1017","RowInclusion","FormatSeparator","TypeOfWhere","WhereOperator","Script","WhereCondition"
68,60,193,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:associatedMedia","http://rs.tdwg.org/dwc/terms/associatedMedia",,"Yes","Yes",,"https://mm.fieldmuseum.org/%s","MulMultiMediaRef_tab.emultimedia.AdmGUIDValue_tab",,"First Row","First Row",,"Group Row Select","AND",,"Equals"
68,60,193,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:associatedMedia","http://rs.tdwg.org/dwc/terms/associatedMedia",,"Yes","Yes",,"https://mm.fieldmuseum.org/%s","MulMultiMediaRef_tab.emultimedia.AdmGUIDValue_tab",,"First Row","First Row",,"Group Row Select","AND",,"Equals"
68,60,193,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:associatedMedia","http://rs.tdwg.org/dwc/terms/associatedMedia",,"Yes","Yes",,"https://mm.fieldmuseum.org/%s","MulMultiMediaRef_tab.emultimedia.AdmGUIDValue_tab",,"First Row","First Row",,"Group Row Select","AND",,"Equals"
68,60,193,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:associatedMedia","http://rs.tdwg.org/dwc/terms/associatedMedia",,"Yes","Yes",,"https://mm.fieldmuseum.org/%s","MulMultiMediaRef_tab.emultimedia.AdmGUIDValue_tab",,"First Row","First Row",,"Group Row Select","AND",,"Equals"
73,63,24,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:bed","http://rs.tdwg.org/dwc/terms/bed","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.LitBedFrom_tab",,,,,"Row Select","AND","sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1 && $fields[1] ne """")
    {
         $value .= ""-"" if ($value ne """");
         $value .= $fields[1];
    }
    if ($max > 2 && ($fields[2] ne """" || $fields[3] ne """"))
    {
        $value .= ""|"";
        if ($fields[2] ne """")
        {
            $value .= $fields[2];
        }
        elsif ($max > 3)
        {
            $value .= $fields[3];
        }
    }
    return $value;
}","Equals"
74,63,24,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:bed","http://rs.tdwg.org/dwc/terms/bed","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.LitBedTo_tab",,,,,"Row Select","AND","sub
fieldFormat
{
    my $max = @fields;
    my $value =","Equals"
75,63,24,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:bed","http://rs.tdwg.org/dwc/terms/bed","Script","Yes","Yes",,,"PalStrDate0",,,,,"Row Select","AND","sub
fieldFormat
{
    my $max = @fields;
    my $value =","Equals"
76,63,24,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:bed","http://rs.tdwg.org/dwc/terms/bed","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.LitDate0",,,,,"Row Select","AND","sub
fieldFormat
{
    my $max = @fields;
    my $value =","Equals"
77,64,26,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:behavior","http://rs.tdwg.org/dwc/terms/behavior","String","Yes","Yes","|","%s","DesKDescription0",,"All Rows","All Rows",,"Row Select","OR",,"Equals"
77,64,26,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:behavior","http://rs.tdwg.org/dwc/terms/behavior","String","Yes","Yes","|","%s","DesKDescription0",,"All Rows","All Rows",,"Row Select","OR",,"Equals"
85,66,28,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:catalogNumber","http://rs.tdwg.org/dwc/terms/catalogNumber","String","Yes","Yes",,"%s%s","ObjEcode",,,,,"Boolean","AND",,"Equals"
