eregistry_key,irn,Key1,Key2,Key3,Key4,Key5,Key6,Key7,Key8,Key9,Key10,Value,AdmDateInserted,AdmDateModified
1,29305,"Group","Default","Table","estandards","Standard Extension","Darwin Core","Audiovisual Core","","","","MulMultiMediaRef_tab",2024-05-23,2024-05-23
2,29959,"Group","Default","Table","estandards","Extension Repeater","Darwin Core","Audiovisual Core","","","","dwc:occurrenceID;dwc:occurrenceID",2024-06-21,2024-07-11
