"eaccessionlots","AccHmnsDateOfTripTo","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccHmnsDateReceived","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccHmnsEndDate","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccHmnsLocalitiesRef_tab","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccHmnsRestrictions","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccHmnsSeason","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccMaterialCity","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccMaterialCountry","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccMaterialCounty","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccMaterialDescription","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccMaterialState","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccMoreInfoAvailable","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccMuseumStorage","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccNamedCollection","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccNumberOfSpecimens","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccObtainedAs","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccPagination_tab","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccPhotosAvailable","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccPhysicalTechnical","cmoa",,"lac","manchester","nmai",,"nybg","umnh","upenn","ushmm",,,"ypmnh"
"eaccessionlots","AccPreferredCitation","cmoa",,"lac","manchester","nmai",,"nybg","umnh","upenn","ushmm",,,"ypmnh"
"eaccessionlots","AccProvenienceReliabe","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccRemarks_tab","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccSentAcknowledgement","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccState","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccStreetAddress","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
"eaccessionlots","AccWhereExcavated","cmoa","fmnh","lac","manchester","nmai",,"nybg","umnh","upenn","ushmm","whitworth","wint","ypmnh"
